			
bloco de anotações,enchimento	/<span class="ipa dipa">pæd</span>/	[sound:cambridge-pad.mp3]	pieces of paper that have been attached together at one edge
			
maníaco,-a,louco	/<span class="ipa dipa">ˈmeɪ·niˌæk</span>/	[sound:cambridge-maniac.mp3]	someone who behaves in an extreme or uncontrolled way
			
impulso	/<span class="ipa dipa">ˈɪm·pʌls</span>/	[sound:cambridge-impulse.mp3]	a sudden feeling that you must do something
cabana	/<span class="ipa dipa">hʌt</span>/	[sound:cambridge-hut.mp3]	a small, simple building, often made of wood
			
duquesa	/<span class="ipa dipa">ˈdʌtʃ·es</span>/	[sound:cambridge-duchess.mp3]	a woman who has a very high social rank in some European countries
estiloso	/<span class="ipa dipa">ˈklæs.i</span>/	[sound:cambridge-classy.mp3]	stylish or fashionable
			
celebridade	/<span class="ipa dipa">səˈleb·rə·t̬i</span>/	[sound:cambridge-eus70741.mp3]	a famous person
			
			
admirado,assombrado	/<span class="ipa dipa">əˈmeɪzd</span>/	[sound:cambridge-usamanu005.mp3]	very surprised
			
			
			
			
			
policial	/<span class="ipa dipa">pəˈlis·mən</span>/	[sound:cambridge-uspolec002.mp3]	a man who is a member of the police
ofensivo,ofensivamente,caráter ofensivo/que ofende,antipatia	/<span class="ipa dipa">əˈfen·sɪv</span>/	[sound:cambridge-eus75170.mp3]	likely to make people angry or upset
caneca,assaltar	/<span class="ipa dipa">mʌɡ</span>/	[sound:cambridge-mug.mp3]	a large cup with straight sides, used for hot drinks
hipócrita		[sound:cambridge-hypocrite.mp3]	someone who says they have particular moral beliefs but behaves in way that shows these are not sincere
humilhar	/<span class="ipa dipa">hjuˈmɪl·iˌeɪt</span>/	[sound:cambridge-humiliate.mp3]	to make someone feel stupid or ashamed
horrendo,hediondo,horrendamente	/<span class="ipa dipa">ˈhɪd·i·əs</span>/	[sound:cambridge-hideous.mp3]	very ugly
peludo	/<span class="ipa dipa">ˈheər·i</span>/	[sound:cambridge-hairy.mp3]	covered in hair
			
			
			
			
			
			
			
			
			
tranca,trinco,ferrolho,parafuso,trancar,sair correndo	/<span class="ipa dipa">boʊlt</span>/	[sound:cambridge-bolt.mp3]	a metal bar that you push across a door or window to lock it
			
			
			
hora de dormir	/<span class="ipa dipa">ˈbedˌtɑɪm</span>/	[sound:cambridge-usbedpo008.mp3]	the time that you usually go to bed
			
alfa	/<span class="ipa dipa">ˈæl.fə</span>/	[sound:cambridge-usad6063.mp3]	the first letter of the Greek alphabet
alcoólico,alcoólatra	/<span class="ipa dipa">ˌæl·kəˈhɔ·lɪk</span>/	[sound:cambridge-alcoholic.mp3]	containing alcohol
			
visual	/<span class="ipa dipa">ˈvɪʒ·u·əl</span>/	[sound:cambridge-visual.mp3]	relating to seeing
verdura,legume	/<span class="ipa dipa">ˈvedʒ·tə·bəl</span>, <span class="ipa dipa">ˈvedʒ·ə·tə·bəl</span>/	[sound:cambridge-vegetable.mp3]	a plant that you eat, for example a potato, onion, etc.
			
bandeja	/<span class="ipa dipa">treɪ</span>/	[sound:cambridge-tray.mp3]	a flat object with higher edges, used for carrying food and drinks
			
			
pegajoso,viscoso,adesivo	/<span class="ipa dipa">ˈstɪk·i</span>/	[sound:cambridge-sticky.mp3]	made of or covered with a substance that can stick to other things
			
esplêndido,ótimo,esplendidamente	/<span class="ipa dipa">ˈsplen·dɪd</span>/	[sound:cambridge-splendid.mp3]	very good or very beautiful
			
camarão	/<span class="ipa dipa">ʃrɪmp</span>/	[sound:cambridge-shrimp.mp3]	a small sea animal that you can eat, with a curved body and a shell. A shrimp is smaller than a prawn.
gritaria	/<span class="ipa dipa">ˈʃaʊ.t̬ɪŋ</span>/	[sound:cambridge-usshort007.mp3]	shouts
			
