political	, ,político,​,, ,partido político,​,·grupo político,​,, ,instabilidade política,​,·agitação política,​,·convulsões políticas, f ​,, ,vontade política,​,
loyal	, ,leal,​,·fiel,​,·leais,​,·fiéis,​,, ,lealdade,​,·fidelidade,​,·dedicação,​,, ,fidelidade do cliente,​,·fidelidade dos clientes,​,·fidelização do cliente,​,·fidelidade de clientes,​,, ,legalista, s ​,
approach	, ,abordagem,​,·método,​,·aproximação,​,·enfoque,​,, ,abordar,​,, ,abordagens, f ​,·enfoques, m ​,·aproximações, f ​,·metodologias, f ​,, ,próximo,​,, ,abordado,​,·abordada,​,·aproximado,​,·abordadas,​,
slowly	
plays	, ,peças, f ​,, ,peças de teatro, f ​,

buzz	, ,zumbido,​,·excitação,​,·burburinho,​,, ,zumbir,​,·zunir,​,, ,alarme,​,·sinal sonoro,​,·campainha,​,·cigarra,​,, ,movimentado,​,, ,chavão,​,·palavra da moda,​,·termo em voga,​,
alcohol	, ,álcool,​,, ,álcool isopropílico,​,, ,alcoólico,​,·alcoólatra,​,·alcoolizado,​,, ,abuso de álcool,​,·consumo abusivo de álcool,​,
actor	, ,ator,​,·actor,​,·atriz,​,, ,interveniente,​,, ,agentes não estatais, m ​,·intervenientes não governamentais, m ​,·entidades não governamentais, f ​,, ,atores-chave, m ​,·principais agentes, m ​,·atores fundamentais, m ​,·intervenientes fundamentais, m ​,

psychiatrist	

plain	, ,simples,​,·claro,​,·liso,​,·natural,​,·claramente,​,·totalmente,​,·raso,​,·absolutamente,​,, ,planície,​,, ,queixoso,​,·requerente,​,·autora,​,·demandante, s ​,, ,planícies, f ​,·planície,​,, ,texto simples,​,·simples texto,​,


uniform	, ,uniforme,​,·farda,​,, ,homogêneo,​,·comum,​,·unificado, ​,·uniformizados,​,, ,uniformizar,​,
terrified	, ,aterrorizado, ​,·apavorado, ​,·assustados,​,

pet	, ,animal de estimação,​,·mascote,​,·bichinho,​,·bicho,​,, ,acariciar algo/alguém,​,, ,pequenos,​,·mesquinho,​,·fúteis,​,·insignificantes,​,

cleaned	, ,limpo,​,·higienizados,​,·lavadas,​,, ,limpo,​,

threaten	, ,ameaçar,​,·intimidar,​,, ,ameaçado, ​,·comprometido,​,, ,ameaçador,​,·perigosos,​,·ameaçante,​,, ,espécies ameaçadas de extinção, f ​,
teaching	, ,ensino,​,·educação,​,·docência,​,·ensinamentos, m ​,, ,docente,​,·de formação, ​,·pedagógico,​,·educacional,​,, ,professor assistente,​,, ,hospital universitário,​,·hospital de ensino,​,·hospital escolar,​,·hospital-escola,​,, ,ensinamentos, m ​,·doutrina,​,·ensinos, m ​,·lições, f ​,
